time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message
53.0833,11.0,1.0909090909090908,4.363636363636363,306.0992714631344,12.754136310963935,31.86614536622288,65.00693654709467,19.890169641515882,1.5601664771302721,0.06099860264953702,20.68038419701257,0.8616826748755239,1.119903550453139,1.0459899161232318,0.07391363432990716,4.119903550453139,19.509378702250075,21.0,2.6173017586824563,43.52421329413122,38.249482316341066,7.370689964379839,64.12601928990938,0.0,1.880096449546861,warning,low,low,0.3615818985839459,False,False,
53.1667,11.0,1.0909090909090908,4.363636363636363,306.11684871551626,12.754868696479845,31.86279063655892,65.00009289858019,19.889825848896262,1.5600022295659246,0.060980642610670016,20.675085252474407,0.861461885519767,1.1196359494442452,1.045739976780925,0.07389597266332015,4.119635949444245,19.510260836816173,21.0,2.6175056534191907,43.52082290679831,38.24654939737259,7.370717749385113,64.12607281011115,0.0,1.8803640505557548,warning,low,low,0.36163305819996105,False,False,
53.25,11.0,1.0909090909090908,4.363636363636363,306.13436140880236,12.755598392033432,31.85944844412989,64.99327482602497,19.889483305940857,1.5598385958245993,0.060962751190697675,20.66980623616696,0.8612419265069566,1.1193693480634137,1.0454909710912283,0.07387837697218536,4.1193693480634135,19.511139797794605,21.0,2.6177088001642557,43.51744548242036,38.2436276891337,7.370745430692846,64.12612613038732,0.0,1.8806306519365863,warning,low,low,0.36168403185403886,False,False,
53.3333,11.0,1.0909090909090908,4.363636363636363,306.1518097910037,12.756325407958487,31.856118739165545,64.98648222789771,19.889142007940457,1.559675573469545,0.06094492810696549,20.664547068265556,0.8610227945110648,1.1191037423545558,1.0452428953591553,0.07386084699540052,4.119103742354556,19.51201559691203,21.0,2.617911201784292,43.51408096743624,38.2407171453248,7.370773008713331,64.1261792515291,0.0,1.8808962576454442,warning,low,low,0.3617348202469552,False,False,
53.4167,11.0,1.0909090909090908,4.363636363636363,306.16919410914403,12.757049754547667,31.852801472106286,64.97971500309681,19.88880195020394,1.5595131600743235,0.060927173078084935,20.65930766928664,0.8608044862202767,1.11883912837814,1.0449957459051828,0.07384338247295719,4.11883912837814,19.512888245851734,21.0,2.6181128611345823,43.51072930852702,38.23781771985544,7.370800483855137,64.12623217432437,0.0,1.88116087162186,warning,low,low,0.36178542407679454,False,False,
53.5,11.0,1.0909090909090908,4.363636363636363,306.18651460926395,12.757771442052665,31.84949659360219,64.97297305094847,19.88846312805819,1.5593513532227632,0.06090948582392764,20.654087960086358,0.8605869983369315,1.1185755022111303,1.0447495190651959,0.07382598314593447,4.11857550221113,19.513757756253828,21.0,2.618313781059102,43.507390452614594,38.23492936684328,7.37082785652512,64.12628489955777,0.0,1.8814244977888697,warning,low,low,0.36183584403895974,False,False,
53.5833,11.0,1.0909090909090908,4.363636363636363,306.2037715364245,12.758490480684353,31.84620405451207,64.96625627120461,19.88812553684807,1.5591901505089107,0.06089186606561869,20.648887861858782,0.8603703275774492,1.1183128599468954,1.0445042111904004,0.07380864875649507,4.118312859946895,19.514624139715323,21.0,2.618513964390559,43.50406434686062,38.23205204061304,7.3708551271284275,64.12633742801063,0.0,1.8816871400531046,warning,low,low,0.36188608082618023,False,False,
53.6667,11.0,1.0909090909090908,4.363636363636363,306.2209651347112,12.759206880612966,31.84292380590255,64.9595645640412,19.887789171936316,1.5590295495369888,0.060874313525531104,20.643707296134643,0.8601544706722768,1.1180511976951553,1.0442598186472751,0.07379137904788013,4.118051197695156,19.515487407790342,21.0,2.6187134139504384,43.50075093866532,38.22918569569553,7.3708822960685065,64.12638976046097,0.0,1.8819488023048447,warning,low,low,0.3619361351285244,False,False,
53.75,11.0,1.0909090909090908,4.363636363636363,306.2380956472386,12.759920651968274,31.83965579904709,64.95289783005606,19.88745402870349,1.5588695479213455,0.06085682792727925,20.638546184779614,0.8599394243658173,1.117790511581898,1.0440163378174927,0.07377417376440532,4.117790511581898,19.516347571990245,21.0,2.618912132549054,43.49745017566613,38.22633028682648,7.3709093637471135,64.12644189768362,0.0,1.882209488418102,warning,low,low,0.3619860076334092,False,False,
53.8333,11.0,1.0909090909090908,4.363636363636363,306.2551633161531,12.760631804839711,31.836399985425096,64.94625597026719,19.887120102547915,1.5587101432864126,0.060839408995713065,20.633404449992863,0.8597251854163693,1.1175307977493123,1.0437737650978578,0.0737570326514545,4.117530797749312,19.517204643783764,21.0,2.6191101229855835,43.49416200573672,38.22348576894568,7.370936330564318,64.12649384045014,0.0,1.8824692022506877,warning,low,low,0.3620356990256079,False,False,
53.9167,11.0,1.0909090909090908,4.363636363636363,306.27216838263786,12.761340349276578,31.833156316720952,64.93963888611074,19.886787388885583,1.5585513332666578,0.060822056456911945,20.628282014305572,0.8595117505960655,1.117272052355719,1.0435320969002415,0.0737399554554774,4.117272052355719,19.518058634597182,21.0,2.6193073880481226,43.490886376985664,38.220652097195845,7.370963196918513,64.12654558952886,0.0,1.882727947644281,warning,low,low,0.3620852099872643,False,False,
54.0,11.0,1.0909090909090908,4.363636363636363,306.289111086916,12.762046295288167,31.829924744823106,64.93304647943913,19.886455883150127,1.5583931155065391,0.06080477003817863,20.623178800579336,0.8592991166908056,1.1170142715754932,1.0432913296515107,0.07372294192398243,4.117014271575493,19.51890955581445,21.0,2.6195039305137193,43.487623237755386,38.2178292269217,7.370989963206423,64.12659714568491,0.0,1.8829857284245068,warning,low,low,0.36213454119789734,False,False,
54.0833,11.0,1.0909090909090908,4.363636363636363,306.3059916682552,12.762749652843967,31.82670522182316,64.92647865251925,19.88612558079272,1.558235487660462,0.06078754946803353,20.618094732004806,0.8590872805002002,1.1167574515990042,1.04305145979347,0.07370599180553428,4.116757451599004,19.519757418777374,21.0,2.6196997531484283,43.484372536620874,38.21501711366886,7.3710166298231075,64.1266485096802,0.0,1.8832425484009958,warning,low,low,0.3621836933344168,False,False,
54.1667,11.0,1.0909090909090908,4.363636363636363,306.3228103649708,12.763450431873784,31.82349770001493,64.91993530803045,19.885796477282017,1.5580784473927307,0.060770394476208314,20.61302973210001,0.8588762388375004,1.1165015886325336,1.0428124837827863,0.07368910484974722,4.116501588632533,19.520602234785724,21.0,2.6198948587073474,43.481134222388604,38.21221571318291,7.371043197161972,64.1266996822735,0.0,1.8834984113674664,warning,low,low,0.36223266707112833,False,False,
54.25,11.0,1.0909090909090908,4.363636363636363,306.33956741443,12.764148642267918,31.820302131893555,64.91341634906284,19.885468568104105,1.5579219923775083,0.06075330479364053,20.607983724709054,0.8586659885295439,1.1162466788982157,1.0425743980909334,0.07367228080728228,4.116246678898216,19.5214440150974,21.0,2.6200892499346664,43.47790824409534,38.20942498140838,7.371069665614774,64.12675066422037,0.0,1.8837533211017843,warning,low,low,0.36228146307974624,False,False,
54.3333,11.0,1.0909090909090908,4.363636363636363,306.3562630530556,12.764844293877317,31.817118470154583,64.90692167911534,19.88514184876243,1.5577661202987683,0.06073628015246742,20.602956634000545,0.8584565264166893,1.1159927186339627,1.0423371992041213,0.07365551942984139,4.115992718633962,19.52228277092856,21.0,2.620282929563703,43.47469455100708,38.20664487448784,7.371096035571632,64.1268014562732,0.0,1.8840072813660373,warning,low,low,0.36233008202940054,False,False,
