time_min,rr_bpm,ti_s,te_s,vt_ml,vt_ml_kg,raw_insp_cmH2O_s_L,raw_exp_cmH2O_s_L,crs_ml_cmH2O,tau_exp_s,expiratory_residual_fraction,trapped_volume_ml,trapped_volume_ml_kg,autopeep_cmH2O,measured_autopeep_cmH2O,occult_autopeep_cmH2O,total_peep_cmH2O,pplat_cmH2O,ppeak_cmH2O,alveolar_ventilation_l_min,paco2_mmHg,etco2_mmHg,ph,map_mmHg,trigger_work_index,external_peep_excess_cmH2O,barotrauma_risk,hemodynamic_risk,ventilation_risk,global_risk_score,unsafe_physiology,simulation_terminated,safety_message,scenario_id,scenario_label,vei_proxy_ml_kg,paco2_etco2_gap_mmHg,pip_minus_pplat_cmH2O
14.75,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.194375561072455,126.54425157100286,18.77355597629283,2.4676129056345557,0.2492177190683033,58.262088997581074,2.330483559903243,3.392374727527587,2.9445812634939452,0.4477934640336416,6.392374727527587,15.048166960240684,60.24254252131314,1.2238784878251672,73.15779376031519,59.5591784283411,7.195031741769221,62.36629030620029,0.0,0.0,low,low,low,1.029809549384673,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.830483559903243,13.598615331974088,45.194375561072455
14.8333,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.18436672577164,126.51622683216058,18.774077862105038,2.4670664232271315,0.24914102821003728,58.23819312705864,2.329527725082346,3.3908891006956012,2.9432917394037816,0.4475973612918196,6.390889100695601,15.04644071785395,60.23080744362559,1.2240445163632603,73.14787068857575,59.55153454498746,7.195074876151793,62.36818094521057,0.0,0.0,low,low,low,1.0295507430892439,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.829527725082347,13.596336143588289,45.18436672577164
14.9167,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.1743876343874,126.48828537628471,18.774598160717737,2.4665215648375516,0.24906455493744248,58.21436993050662,2.3285747972202646,3.38940807428374,2.9420062084782863,0.4474018658054537,6.38940807428374,15.044719820982012,60.21910745536941,1.2242100981277781,73.13797699996964,59.54391311956408,7.1951178901957045,62.37006596780987,0.0,0.0,low,low,low,1.0292926588257743,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.828574797220265,13.594063880405557,45.1743876343874
15.0,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.164438198527755,126.46042695587771,18.775116877042365,2.4659783256396155,0.24898829866667466,58.19061918304193,2.3276247673216774,3.3879316335546976,2.9407246579254775,0.44720697562922007,6.387931633554698,15.04300425250068,60.207442451028435,1.2243752342013332,73.12811260708406,59.5363140862842,7.195160784217479,62.37194539074859,0.0,0.0,low,low,low,1.0290352946951273,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.827624767321677,13.591798520799863,45.164438198527755
15.0833,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.15451833006344,126.43265132417763,18.775634015974788,2.465436700821464,0.24891225881524315,58.16694066049496,2.3266776264197984,3.3864597638210108,2.9394470749966373,0.4470126888243735,6.38645976382101,15.041293995343677,60.19581232540712,1.2245399256645222,73.1182774227727,59.528737379555785,7.195203558532898,62.37381923072641,0.0,0.0,low,low,low,1.0287786488026107,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.826677626419798,13.589540043216921,45.15451833006344
15.1667,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.144627941127055,126.40495823515575,18.776149582395345,2.464896685585537,0.24883643480200884,58.14333413940724,2.3257333655762893,3.384992450444881,2.9381734469861565,0.4468190034587245,6.384992450444881,15.039589032502427,60.18421697362948,1.2247041735959276,73.10847136015487,59.52118293398098,7.195246213457006,62.37568750439244,0.0,0.0,low,low,low,1.0285227192579658,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.825733365576289,13.587288426173885,45.144627941127055
15.25,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.13476694411237,126.37734744351464,18.776663581168883,2.4643582751485353,0.2487608260471834,58.11979939702923,2.3247919758811695,3.3835296788379994,2.9369037612313833,0.4466259176066161,6.383529678837999,15.037889347025871,60.17265629113824,1.2248679790721158,73.09869433261464,59.513650684355504,7.195288749304106,62.3775502283454,0.0,0.0,low,low,low,1.0282675041753677,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.824791975881169,13.585043648259138,45.13476694411237
15.3333,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.124935251673456,126.34981870468567,18.777176017144818,2.4638214647413705,0.24868543197232626,58.096336211317876,2.323853448452715,3.382071434461357,2.935638005112458,0.44643342934889896,6.382071434461357,15.036194922020224,60.16113017369368,1.22503134316764,73.08894625379995,59.50614056566797,7.195331166387762,62.37940741913369,0.0,0.0,low,low,low,1.0280130016734308,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.823853448452715,13.582805688131977,45.124935251673456
15.4167,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.115132776723954,126.32237177482706,18.777686895157192,2.4632862496091277,0.24861025200034348,58.07294436093429,2.3229177744373715,3.380617702825064,2.9343761660521555,0.44624153677290845,6.380617702825064,15.034505740648783,60.149638517372736,1.2251942669550424,73.07922703762168,59.498652513099316,7.195373465020808,62.381259093255736,0.0,0.0,low,low,low,1.0277592098751551,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.822917774437371,13.580574524522362,45.115132776723954
15.5,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.10535943243635,126.29500641082177,18.778196220024725,2.4627526250110243,0.24853528555548646,58.04962362524161,2.3219849450096643,3.379168469488179,2.9331182315157394,0.4460502379724396,6.379168469488179,15.032821786131713,60.138181218568064,1.2253567515048513,73.0695365982529,59.49118646202223,7.195415645515338,62.38310526715994,0.0,0.0,low,low,low,1.0275061269079746,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.821984945009664,13.578350136230668,45.10535943243635
15.5833,14.0,0.8571428571428571,3.4285714285714284,162.5,6.5,45.09561513224112,126.26772237027514,18.77870399655083,2.462220586220365,0.2484605320633494,58.026373784302585,2.3210549513721035,3.3777237200585297,2.931864189010804,0.4458595310477258,6.37772372005853,15.031143041745857,60.12675817398698,1.2255187978855853,73.05987485012787,59.483742348000476,7.195457708182715,62.38494595724498,0.0,0.0,low,low,low,1.027253750903709,False,False,,safe_controlled_hypoventilation,Controlled hypoventilation,8.821054951372103,13.576132502127393,45.09561513224112
